,lvl0,lvl1,lvl2,lvl3,lvl4,count
129,all,relay,relay_invest,relay_invest_loan,relay_invest_loan_credit,160
130,all,relay,relay_invest,relay_invest_credit,relay_invest_credit_money,2807
131,all,relay,relay_invest,relay_invest_credit,relay_invest_credit_loan,501
132,all,relay,relay_loan,relay_loan_money,relay_loan_money_invest,3365
133,all,relay,relay_loan,relay_loan_money,relay_loan_money_credit,334
134,all,relay,relay_loan,relay_loan_invest,relay_loan_invest_money,3629
135,all,relay,relay_loan,relay_loan_invest,relay_loan_invest_credit,507
136,all,relay,relay_loan,relay_loan_credit,relay_loan_credit_money,470
137,all,relay,relay_loan,relay_loan_credit,relay_loan_credit_invest,623
138,all,relay,relay_credit,relay_credit_money,relay_credit_money_invest,7602
139,all,relay,relay_credit,relay_credit_money,relay_credit_money_loan,825
140,all,relay,relay_credit,relay_credit_invest,relay_credit_invest_money,9221
141,all,relay,relay_credit,relay_credit_invest,relay_credit_invest_loan,547
142,all,relay,relay_credit,relay_credit_loan,relay_credit_loan_money,443
143,all,relay,relay_credit,relay_credit_loan,relay_credit_loan_invest,360
144,all,money,money_relay,money_relay_invest,money_relay_invest_loan,287
145,all,money,money_relay,money_relay_invest,money_relay_invest_credit,430
146,all,money,money_relay,money_relay_loan,money_relay_loan_invest,498
147,all,money,money_relay,money_relay_loan,money_relay_loan_credit,81
148,all,money,money_relay,money_relay_credit,money_relay_credit_invest,985
149,all,money,money_relay,money_relay_credit,money_relay_credit_loan,191
150,all,money,money_invest,money_invest_relay,money_invest_relay_loan,296
151,all,money,money_invest,money_invest_relay,money_invest_relay_credit,260
152,all,money,money_invest,money_invest_loan,money_invest_loan_relay,26
153,all,money,money_invest,money_invest_loan,money_invest_loan_credit,3
154,all,money,money_invest,money_invest_credit,money_invest_credit_relay,80
155,all,money,money_invest,money_invest_credit,money_invest_credit_loan,21
156,all,money,money_loan,money_loan_relay,money_loan_relay_invest,30
157,all,money,money_loan,money_loan_relay,money_loan_relay_credit,8
158,all,money,money_loan,money_loan_invest,money_loan_invest_relay,16
159,all,money,money_loan,money_loan_invest,money_loan_invest_credit,9
160,all,money,money_loan,money_loan_credit,money_loan_credit_relay,2
161,all,money,money_loan,money_loan_credit,money_loan_credit_invest,11
162,all,money,money_credit,money_credit_relay,money_credit_relay_invest,22
163,all,money,money_credit,money_credit_relay,money_credit_relay_loan,13
164,all,money,money_credit,money_credit_invest,money_credit_invest_relay,24
165,all,money,money_credit,money_credit_invest,money_credit_invest_loan,23
166,all,money,money_credit,money_credit_loan,money_credit_loan_relay,3
167,all,money,money_credit,money_credit_loan,money_credit_loan_invest,7
168,all,invest,invest_relay,invest_relay_money,invest_relay_money_loan,452
169,all,invest,invest_relay,invest_relay_money,invest_relay_money_credit,434
170,all,invest,invest_relay,invest_relay_loan,invest_relay_loan_money,479
171,all,invest,invest_relay,invest_relay_loan,invest_relay_loan_credit,46
172,all,invest,invest_relay,invest_relay_credit,invest_relay_credit_money,1440
173,all,invest,invest_relay,invest_relay_credit,invest_relay_credit_loan,178
174,all,invest,invest_money,invest_money_relay,invest_money_relay_loan,494
175,all,invest,invest_money,invest_money_relay,invest_money_relay_credit,187
176,all,invest,invest_money,invest_money_loan,invest_money_loan_relay,49
177,all,invest,invest_money,invest_money_loan,invest_money_loan_credit,5
178,all,invest,invest_money,invest_money_credit,invest_money_credit_relay,65
179,all,invest,invest_money,invest_money_credit,invest_money_credit_loan,12
180,all,invest,invest_loan,invest_loan_relay,invest_loan_relay_money,14
181,all,invest,invest_loan,invest_loan_relay,invest_loan_relay_credit,4
182,all,invest,invest_loan,invest_loan_money,invest_loan_money_relay,39
183,all,invest,invest_loan,invest_loan_money,invest_loan_money_credit,5
184,all,invest,invest_loan,invest_loan_credit,invest_loan_credit_relay,1
185,all,invest,invest_loan,invest_loan_credit,invest_loan_credit_money,7
186,all,invest,invest_credit,invest_credit_relay,invest_credit_relay_money,39
187,all,invest,invest_credit,invest_credit_relay,invest_credit_relay_loan,8
188,all,invest,invest_credit,invest_credit_money,invest_credit_money_relay,221
189,all,invest,invest_credit,invest_credit_money,invest_credit_money_loan,38
190,all,invest,invest_credit,invest_credit_loan,invest_credit_loan_relay,5
191,all,invest,invest_credit,invest_credit_loan,invest_credit_loan_money,14
192,all,loan,loan_relay,loan_relay_money,loan_relay_money_invest,243
193,all,loan,loan_relay,loan_relay_money,loan_relay_money_credit,40
194,all,loan,loan_relay,loan_relay_invest,loan_relay_invest_money,277
195,all,loan,loan_relay,loan_relay_invest,loan_relay_invest_credit,48
196,all,loan,loan_relay,loan_relay_credit,loan_relay_credit_money,79
197,all,loan,loan_relay,loan_relay_credit,loan_relay_credit_invest,55
198,all,loan,loan_money,loan_money_relay,loan_money_relay_invest,49
199,all,loan,loan_money,loan_money_relay,loan_money_relay_credit,14
200,all,loan,loan_money,loan_money_invest,loan_money_invest_relay,67
201,all,loan,loan_money,loan_money_invest,loan_money_invest_credit,15
202,all,loan,loan_money,loan_money_credit,loan_money_credit_relay,2
203,all,loan,loan_money,loan_money_credit,loan_money_credit_invest,26
204,all,loan,loan_invest,loan_invest_relay,loan_invest_relay_money,39
205,all,loan,loan_invest,loan_invest_relay,loan_invest_relay_credit,9
206,all,loan,loan_invest,loan_invest_money,loan_invest_money_relay,109
207,all,loan,loan_invest,loan_invest_money,loan_invest_money_credit,6
208,all,loan,loan_invest,loan_invest_credit,loan_invest_credit_relay,0
209,all,loan,loan_invest,loan_invest_credit,loan_invest_credit_money,18
210,all,loan,loan_credit,loan_credit_relay,loan_credit_relay_money,7
211,all,loan,loan_credit,loan_credit_relay,loan_credit_relay_invest,0
212,all,loan,loan_credit,loan_credit_money,loan_credit_money_relay,12
213,all,loan,loan_credit,loan_credit_money,loan_credit_money_invest,44
214,all,loan,loan_credit,loan_credit_invest,loan_credit_invest_relay,1
215,all,loan,loan_credit,loan_credit_invest,loan_credit_invest_money,34
216,all,credit,credit_relay,credit_relay_money,credit_relay_money_invest,175
217,all,credit,credit_relay,credit_relay_money,credit_relay_money_loan,18
218,all,credit,credit_relay,credit_relay_invest,credit_relay_invest_money,226
219,all,credit,credit_relay,credit_relay_invest,credit_relay_invest_loan,8
220,all,credit,credit_relay,credit_relay_loan,credit_relay_loan_money,31
221,all,credit,credit_relay,credit_relay_loan,credit_relay_loan_invest,7
222,all,credit,credit_money,credit_money_relay,credit_money_relay_invest,43
223,all,credit,credit_money,credit_money_relay,credit_money_relay_loan,28
224,all,credit,credit_money,credit_money_invest,credit_money_invest_relay,214
225,all,credit,credit_money,credit_money_invest,credit_money_invest_loan,18
226,all,credit,credit_money,credit_money_loan,credit_money_loan_relay,9
227,all,credit,credit_money,credit_money_loan,credit_money_loan_invest,14
228,all,credit,credit_invest,credit_invest_relay,credit_invest_relay_money,48
229,all,credit,credit_invest,credit_invest_relay,credit_invest_relay_loan,5
230,all,credit,credit_invest,credit_invest_money,credit_invest_money_relay,321
231,all,credit,credit_invest,credit_invest_money,credit_invest_money_loan,28
232,all,credit,credit_invest,credit_invest_loan,credit_invest_loan_relay,2
233,all,credit,credit_invest,credit_invest_loan,credit_invest_loan_money,19
234,all,credit,credit_loan,credit_loan_relay,credit_loan_relay_money,2
235,all,credit,credit_loan,credit_loan_relay,credit_loan_relay_invest,2
236,all,credit,credit_loan,credit_loan_money,credit_loan_money_relay,7
237,all,credit,credit_loan,credit_loan_money,credit_loan_money_invest,24
238,all,credit,credit_loan,credit_loan_invest,credit_loan_invest_relay,0
239,all,credit,credit_loan,credit_loan_invest,credit_loan_invest_money,19
240,all,relay,relay_money,relay_money_invest,,52282
241,all,relay,relay_money,relay_money_loan,,6500
242,all,relay,relay_money,relay_money_credit,,4147
243,all,relay,relay_invest,relay_invest_money,,74942
244,all,relay,relay_invest,relay_invest_loan,,8663
245,all,relay,relay_invest,relay_invest_credit,,6297
246,all,relay,relay_loan,relay_loan_money,,6343
247,all,relay,relay_loan,relay_loan_invest,,10651
248,all,relay,relay_loan,relay_loan_credit,,2102
249,all,relay,relay_credit,relay_credit_money,,7487
250,all,relay,relay_credit,relay_credit_invest,,5892
251,all,relay,relay_credit,relay_credit_loan,,3717
252,all,money,money_relay,money_relay_invest,,5677
253,all,money,money_relay,money_relay_loan,,3163
254,all,money,money_relay,money_relay_credit,,1006
255,all,money,money_invest,money_invest_relay,,14484
256,all,money,money_invest,money_invest_loan,,463
257,all,money,money_invest,money_invest_credit,,439
258,all,money,money_loan,money_loan_relay,,402
259,all,money,money_loan,money_loan_invest,,363
260,all,money,money_loan,money_loan_credit,,63
261,all,money,money_credit,money_credit_relay,,205
262,all,money,money_credit,money_credit_invest,,318
263,all,money,money_credit,money_credit_loan,,144
264,all,invest,invest_relay,invest_relay_money,,6975
265,all,invest,invest_relay,invest_relay_loan,,2420
266,all,invest,invest_relay,invest_relay_credit,,998
267,all,invest,invest_money,invest_money_relay,,24590
